frame,thumb,index,middle,ring,pinky
0,1.8647052514011322,2.688972374526869,1.5108478234064548,2.6214710698642176,2.053735158832892
1,1.7380980173335965,2.7252027688766605,1.5131644658843184,2.655089979787792,2.012883740684925
2,1.6918832362143472,2.7836716353090454,1.5532146910627191,2.7708032617833602,2.117373597474868
3,1.645468822781649,2.799855976358579,1.5737400407840108,2.8569788810722416,2.1894743484403563
4,1.4672960656834253,2.8010194372811306,1.5965706865068223,2.8918484122169144,2.2488873163553444
5,1.4959343182565417,2.803122612678187,1.5931598035730334,2.8682499945830635,2.187638245505584
6,1.4703190254336271,2.7809548818763603,1.5738885315595117,2.8670436249694817,2.2025643791277294
7,1.4394615534127824,2.760162895343547,1.5643027956740463,2.8520352154947264,2.162305913272253
8,1.3967655932259437,2.747280943486624,1.5582371501822736,2.7994287660108594,2.1491891297528727
9,1.2507862426162304,2.765030439970326,1.5930518663777509,2.875977762100522,2.332362950809984
10,1.2319976328567268,2.8914244248418988,1.689508306898442,2.9773241433942212,2.3354463944237893
11,1.3180490420242226,2.884559723383853,1.6863133858270132,2.9664846055762837,2.307508152370637
12,1.3820661679137842,2.8292911835562644,1.6620992027727108,2.867981047828873,2.2638755335708103
13,1.5985271573341278,2.76467967861976,1.586937175506247,2.747725863404371,2.1498178977130653
14,1.688040429516991,2.730576845867451,1.5834059140279684,2.711205493930416,2.065012182501848
15,1.6006621983862002,2.7170076009611983,1.5508679155344813,2.7429492931665593,2.0422344389354055
16,1.5876221879099772,2.7056151120033327,1.5581658330172712,2.748171648349429,2.0838591501309205
17,1.5614144767962037,2.765845581632616,1.5844107607896383,2.804014515732796,2.0860168938511205
18,1.5655355450975934,2.7747207022019413,1.6052863183506372,2.8393402377517525,2.1951494712181816
19,1.820987194908283,2.1098602910657913,1.7277185413379692,3.222788386638128,2.514853924239403
20,2.0992857574965798,1.289633846520873,1.746973503922702,3.255278534129682,2.5897039372162847
21,2.042981266343779,1.370595853848608,1.7552574407228219,3.3101446770654808,2.5858428820784516
22,2.014612677576327,1.4439926023871552,1.7548226165216358,3.276720910851288,2.5842638162248055
23,1.8646524011643206,2.1342072202334896,1.7236654697659999,3.1172450493806516,2.3877463928737046
24,1.677865637361072,2.6748669207871174,1.6221408484457194,2.867811849064742,2.186230920509754
25,1.6085341449668766,2.8086367130750842,1.5738628469331917,2.8046720681421737,2.1093547753652198
26,1.5649564739977864,2.8049396129079356,1.5857365738007116,2.8404107255688222,2.1418924839758287
27,1.5815090522562125,2.827800846021723,1.5822437955069606,2.8417822915750715,2.127014412101772
28,1.6400042745192716,2.7759969738543067,1.5707553725524257,2.7131961163479845,2.0998364310099586
29,1.823737586766323,2.7446117130931174,1.5431906702641007,2.4301984976538855,2.18251162291685
